file	ext	bytes	mtime	mutations	paid_api	duplicate_of_tracked	class
check-b2.ts	ts	2146	2026-08-13	none	-	-	read-only experiment
check-backcover.ts	ts	1524	2026-08-02	none	-	-	read-only experiment
check-ch02-fitstatus.ts	ts	768	2026-08-04	db-read	-	-	read-only experiment
check-ch8-manifests.ts	ts	568	2026-08-03	db-read	-	-	read-only experiment
check-contents-page.ts	ts	803	2026-08-03	db-read	-	-	read-only experiment
check-cover-config.ts	ts	832	2026-08-02	none	-	-	read-only experiment
check-cover-sync.ts	ts	237	2026-08-04	none	-	-	read-only experiment
check-cover-timestamp.ts	ts	324	2026-08-03	none	-	-	read-only experiment
check-crop-safety.ts	ts	2439	2026-08-11	none	-	-	read-only experiment
check-full-artdirection.ts	ts	320	2026-08-02	none	-	-	read-only experiment
check-index-dupes.ts	ts	998	2026-08-07	db-read	-	-	read-only experiment
check-intro-titles.ts	ts	753	2026-08-07	db-read	-	-	read-only experiment
check-left-margin.ts	ts	1229	2026-08-11	none	-	-	read-only experiment
check-manuscript-source.ts	ts	690	2026-08-03	none	-	-	read-only experiment
check-ne-openers.ts	ts	785	2026-08-07	db-read	-	-	read-only experiment
check-parity.ts	ts	1309	2026-08-13	none	-	-	read-only experiment
check-safety.ts	ts	2264	2026-08-13	none	-	-	read-only experiment
check-scattered-versions.ts	ts	861	2026-08-07	db-read	-	-	read-only experiment
check-sizes.ts	ts	1135	2026-06-16	db-read	-	-	read-only experiment
check-sleep.ts	ts	1147	2026-08-14	none	-	-	read-only experiment
close-ch7-split.ts	ts	6499	2026-08-14	none	-	-	read-only experiment
co2-after.md	md	194551	2026-08-14	n/a	-	-	ARTIFACT (md)
co2-analyze.ts	ts	2841	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
co2-apply.ts	ts	8739	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
co2-base.md	md	190020	2026-08-14	n/a	-	-	ARTIFACT (md)
co2-final.ts	ts	2117	2026-08-14	none	-	-	read-only experiment
co2-primes.ts	ts	317	2026-08-14	none	-	-	read-only experiment
co2-qbalance.ts	ts	1016	2026-08-14	none	-	-	read-only experiment
co2-quotes-final.ts	ts	1547	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
co3-after.md	md	194566	2026-08-14	n/a	-	-	ARTIFACT (md)
co3-apply.ts	ts	3701	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
compare-bm-pages.ts	ts	1286	2026-08-03	db-read	-	-	read-only experiment
compare-bm-pages2.ts	ts	1448	2026-08-03	db-read	-	-	read-only experiment
compare-covers.ts	ts	1221	2026-08-11	DB-WRITE	-	-	DANGEROUS — needs guard
contact-sheet.ts	ts	1303	2026-08-11	file-write	-	-	read-only experiment
cover-art-dir.ts	ts	514	2026-08-07	none	-	-	read-only experiment
cover-blueprint.png	png	87443	2026-08-11	n/a	-	-	ARTIFACT (png)
cover-delta.ts	ts	1701	2026-08-11	none	-	-	read-only experiment
cover-dims-check.ts	ts	902	2026-06-15	none	-	-	read-only experiment
cover-dpi.ts	ts	1536	2026-08-12	none	-	-	read-only experiment
cover-guides.png	png	9244407	2026-08-11	n/a	-	-	ARTIFACT (png)
cover-inputs.ts	ts	989	2026-06-15	none	-	-	read-only experiment
cover-preflight-report.ts	ts	4001	2026-08-12	none	OpenAI	-	DANGEROUS — needs guard
cover-prompt-dump.txt	txt	14695	2026-08-10	n/a	-	-	ARTIFACT (txt)
cover-prompt-final.txt	txt	7122	2026-08-11	n/a	-	-	ARTIFACT (txt)
cover-size.ts	ts	257	2026-06-16	none	-	-	read-only experiment
cover-state.ts	ts	1132	2026-08-07	db-read	-	-	read-only experiment
cover-title-edge.png	png	690731	2026-08-11	n/a	-	-	ARTIFACT (png)
cover-v3-empty-spine.png	png	1889259	2026-08-11	n/a	-	-	ARTIFACT (png)
cover-v3-final.png	png	2416007	2026-08-11	n/a	-	-	ARTIFACT (png)
cover-v3-spine-repaired.png	png	3050666	2026-08-11	n/a	-	-	ARTIFACT (png)
cover-v4-final.png	png	2358681	2026-08-11	n/a	-	-	ARTIFACT (png)
cover-v4-raw.png	png	1889259	2026-08-11	n/a	-	-	ARTIFACT (png)
cover-v5-final.png	png	2358229	2026-08-11	n/a	-	-	ARTIFACT (png)
cover-v6-final.png	png	2385254	2026-08-12	n/a	-	-	ARTIFACT (png)
cover-v6-proof.png	png	8550336	2026-08-12	n/a	-	-	ARTIFACT (png)
cover-v6-raw.png	png	1834230	2026-08-12	n/a	-	-	ARTIFACT (png)
cover-v7-proof.png	png	9258131	2026-08-12	n/a	-	-	ARTIFACT (png)
cover-v7.pdf	pdf	8475977	2026-08-12	n/a	-	-	ARTIFACT (pdf)
cp-2.png	png	29920	2026-08-11	n/a	-	-	ARTIFACT (png)
crop-back-cover.ts	ts	533	2026-08-02	file-write	Anthropic	-	DANGEROUS — needs guard
crop-backcover-top-v3.ts	ts	540	2026-08-03	file-write	Anthropic	-	DANGEROUS — needs guard
crop-backcover-top.ts	ts	726	2026-08-03	file-write	Anthropic	-	DANGEROUS — needs guard
crop-backleft.ts	ts	238	2026-08-12	file-write	-	-	read-only experiment
crop-bands.ts	ts	500	2026-08-12	file-write	-	-	read-only experiment
crop-front-cover.ts	ts	535	2026-08-02	file-write	Anthropic	-	DANGEROUS — needs guard
crop-front-lower.ts	ts	536	2026-08-02	file-write	Anthropic	-	DANGEROUS — needs guard
crop-series-line.ts	ts	535	2026-08-02	file-write	Anthropic	-	DANGEROUS — needs guard
crop-spine.ts	ts	627	2026-08-02	file-write	Anthropic	-	DANGEROUS — needs guard
crop-zone.ts	ts	278	2026-08-12	file-write	-	-	read-only experiment
crop.mjs	mjs	376	2026-08-04	file-write	-	-	read-only experiment
dev-set-book-config.ts	ts	2191	2026-08-10	none	-	-	read-only experiment
diagnose-p47.ts	ts	1705	2026-08-14	none	-	-	read-only experiment
dl-newest.ts	ts	1638	2026-06-15	none	-	-	read-only experiment
dl-page.ts	ts	1502	2026-06-14	none	-	-	read-only experiment
dl-path.ts	ts	685	2026-06-15	none	-	-	read-only experiment
download-ch2-phase1.ts	ts	1511	2026-08-04	file-write	Anthropic	-	DANGEROUS — needs guard
download-p035-image.ts	ts	905	2026-08-04	file-write	Anthropic	-	DANGEROUS — needs guard
drop-rockies-bio.ts	ts	897	2026-08-03	DB-WRITE	-	-	DANGEROUS — needs guard
dump-backcover-full.ts	ts	875	2026-06-16	none	-	-	read-only experiment
dump-backcover.ts	ts	911	2026-06-15	none	-	-	read-only experiment
dump-backmatter.ts	ts	659	2026-06-16	db-read	-	-	read-only experiment
dump-bd.ts	ts	519	2026-06-15	none	-	-	read-only experiment
dump-fm.ts	ts	1015	2026-06-15	none	-	-	read-only experiment
dump-intro-prompt.ts	ts	826	2026-08-07	db-read	-	-	read-only experiment
dump-manuscript.ts	ts	853	2026-06-16	db-read,file-write	-	-	read-only experiment
dump-marginal.ts	ts	697	2026-08-08	db-read	-	-	read-only experiment
dump-pages-text.ts	ts	528	2026-06-16	db-read	-	-	read-only experiment
edge-clip-audit.ts	ts	4642	2026-08-14	file-write	-	-	read-only experiment
edit-bear-cub.ts	ts	2341	2026-06-17	db-read,STORAGE-WRITE	OpenAI	-	DANGEROUS — needs guard
edit-cherry-c2.ts	ts	2488	2026-06-17	db-read,STORAGE-WRITE	OpenAI	-	DANGEROUS — needs guard
edit-cover-backcopy.ts	ts	6057	2026-06-16	DB-WRITE,STORAGE-WRITE	OpenAI	-	DANGEROUS — needs guard
edit-cover-seriesline.ts	ts	2413	2026-06-16	STORAGE-WRITE	OpenAI	-	DANGEROUS — needs guard
edit-cover-subtitle.ts	ts	4206	2026-06-16	DB-WRITE,STORAGE-WRITE	OpenAI	-	DANGEROUS — needs guard
edit-fern-c1.ts	ts	2322	2026-06-17	db-read,STORAGE-WRITE	OpenAI	-	DANGEROUS — needs guard
edit-myco-c1.ts	ts	2573	2026-06-17	db-read,STORAGE-WRITE	OpenAI	-	DANGEROUS — needs guard
edit-titlepage.ts	ts	3645	2026-06-16	db-read,STORAGE-WRITE	OpenAI	-	DANGEROUS — needs guard
enc-crop.ts	ts	476	2026-06-16	file-write	-	-	read-only experiment
enc-crop2.ts	ts	493	2026-06-16	file-write	-	-	read-only experiment
expand-ch8.ts	ts	6776	2026-08-03	DB-WRITE	-	-	DANGEROUS — needs guard
expand-knots-v2.ts	ts	4530	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
extract-illustration.ts	ts	2062	2026-08-11	file-write	-	-	read-only experiment
extract-knots-section.ts	ts	1272	2026-08-03	file-write	Anthropic	-	DANGEROUS — needs guard
extract-manuscript.ts	ts	1609	2026-08-03	file-write	Anthropic	backend/src/pipeline/stage-1-ingestion/extract-manuscript.ts	DANGEROUS — needs guard
final-150.png	png	146111	2026-08-11	n/a	-	-	ARTIFACT (png)
final-audit.ts	ts	1632	2026-08-08	db-read	-	-	read-only experiment
final-check.ts	ts	4632	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
final-qa.ts	ts	5100	2026-08-11	none	-	-	read-only experiment
final.headers	headers	531	2026-08-11	n/a	-	-	ARTIFACT (headers)
find-bear.ts	ts	1117	2026-06-17	db-read	-	-	read-only experiment
find-block.ts	ts	1194	2026-08-14	none	-	-	read-only experiment
find-ch8-headings.ts	ts	699	2026-08-03	none	-	-	read-only experiment
find-fire-heading.ts	ts	1650	2026-08-03	file-write	Anthropic	-	DANGEROUS — needs guard
find-heading.ts	ts	1167	2026-08-14	none	-	-	read-only experiment
find-icon-refs.ts	ts	918	2026-06-16	db-read	-	-	read-only experiment
find-icon-refs2.ts	ts	1268	2026-06-16	db-read	-	-	read-only experiment
finish-v3-minimal.ts	ts	2886	2026-08-11	file-write	-	-	read-only experiment
finish-v3-spine.ts	ts	1413	2026-08-11	file-write	-	-	read-only experiment
finish-v4.ts	ts	2289	2026-08-11	file-write	-	-	read-only experiment
fix-aboutseries-pageno.ts	ts	703	2026-06-16	DB-WRITE	-	-	DANGEROUS — needs guard
fix-authorbio-dashes.ts	ts	1357	2026-08-02	DB-WRITE	-	-	DANGEROUS — needs guard
fix-ch8-manifests.ts	ts	2132	2026-08-03	DB-WRITE	-	-	DANGEROUS — needs guard
fix-ch8-p008-manifest.ts	ts	834	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
fix-clove-trucker-imagesubject.ts	ts	2868	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
fix-index-dupe.ts	ts	1650	2026-08-07	DB-WRITE	-	-	DANGEROUS — needs guard
fix-manifest-mojibake.ts	ts	2471	2026-08-14	none	-	-	read-only experiment
fix-p140.ts	ts	2649	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
fix-p6.ts	ts	3434	2026-08-14	none	-	-	read-only experiment
fix-resources.ts	ts	5781	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
fix-rockies-cover-content.ts	ts	6704	2026-08-02	DB-WRITE	-	-	DANGEROUS — needs guard
full-day-renders.ts	ts	924	2026-08-07	db-read	-	-	read-only experiment
furniture-check.ts	ts	2351	2026-08-14	none	-	-	read-only experiment
furniture-pos.ts	ts	4175	2026-08-14	none	-	-	read-only experiment
gen-cover-empty-spine.ts	ts	3027	2026-08-11	file-write	OpenAI	-	DANGEROUS — needs guard
gen-cover-v6.ts	ts	3021	2026-08-12	file-write	OpenAI	-	DANGEROUS — needs guard
generate-final-cover-20260804.ts	ts	660	2026-08-04	none	-	-	read-only experiment
get-active-img.ts	ts	796	2026-06-16	db-read	-	-	read-only experiment
get-knots-v2-ids.ts	ts	504	2026-08-04	db-read	-	-	read-only experiment
get-p19-art.ts	ts	2546	2026-08-14	file-write	-	-	read-only experiment
get-page-ids.ts	ts	542	2026-08-03	db-read	-	-	read-only experiment
h2		531	2026-08-11	n/a	-	-	ARTIFACT ()
h3		531	2026-08-11	n/a	-	-	ARTIFACT ()
h4		531	2026-08-11	n/a	-	-	ARTIFACT ()
health-check.ts	ts	787	2026-08-07	db-read	-	-	read-only experiment
hyphen-probe.ts	ts	1900	2026-08-14	none	-	-	read-only experiment
identify-pdf.ts	ts	3185	2026-08-11	DB-WRITE	-	-	DANGEROUS — needs guard
idx-138.png	png	87714	2026-08-11	n/a	-	-	ARTIFACT (png)
illus-page147.png	png	553785	2026-08-11	n/a	-	-	ARTIFACT (png)
illus-page19.png	png	622885	2026-08-11	n/a	-	-	ARTIFACT (png)
ind-88.png	png	109300	2026-08-11	n/a	-	-	ARTIFACT (png)
indent-check.ts	ts	3368	2026-08-11	none	-	-	read-only experiment
index-final-check.ts	ts	2668	2026-08-14	none	-	-	read-only experiment
inspect-ch02-p035.ts	ts	673	2026-08-04	db-read	-	-	read-only experiment
inspect-cover-prompt-20260804.ts	ts	959	2026-08-04	none	-	-	read-only experiment
inspect-p19.ts	ts	3615	2026-08-14	file-write	-	-	read-only experiment
investigate-ch5-opener-20260804.ts	ts	2589	2026-08-04	db-read	-	-	read-only experiment
latest-render-times.ts	ts	761	2026-08-07	db-read	-	-	read-only experiment
layout-audit.ts	ts	3563	2026-08-13	none	-	-	read-only experiment
layout-usage.ts	ts	429	2026-08-07	db-read	-	-	read-only experiment
list-models.ts	ts	583	2026-08-08	none	OpenAI	-	DANGEROUS — needs guard
list-recent-renders.ts	ts	1037	2026-08-07	db-read	-	-	read-only experiment
list-restored-pages.ts	ts	1690	2026-08-07	db-read	-	-	read-only experiment
look-p23.ts	ts	578	2026-08-13	none	-	-	read-only experiment
look-pages.ts	ts	592	2026-08-13	none	-	-	read-only experiment
m1-after.md	md	194517	2026-08-14	n/a	-	-	ARTIFACT (md)
m1-index-pages.ts	ts	3406	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
m1-verify.ts	ts	2448	2026-08-14	none	-	-	read-only experiment
manuscript-after.md	md	188267	2026-08-13	n/a	-	-	ARTIFACT (md)
manuscript-before.md	md	185179	2026-08-13	n/a	-	-	ARTIFACT (md)
manuscript-sources.md	md	190020	2026-08-13	n/a	-	-	ARTIFACT (md)
mcp-smoke.ts	ts	2568	2026-08-13	none	-	-	read-only experiment
measure-spine.ts	ts	2505	2026-08-11	none	-	-	read-only experiment
ms.json	json	187562	2026-08-11	n/a	-	-	ARTIFACT (json)
myth-keep.ts	ts	8350	2026-08-14	none	-	-	read-only experiment
ne-opener-check.ts	ts	660	2026-08-07	db-read	-	-	read-only experiment
new-openers.jpg	jpg	266157	2026-08-14	n/a	-	-	ARTIFACT (jpg)
opener-tally.ts	ts	2257	2026-08-14	none	-	-	read-only experiment
openers-after.md	md	194091	2026-08-14	n/a	-	-	ARTIFACT (md)
openers-base.md	md	194566	2026-08-14	n/a	-	-	ARTIFACT (md)
openers-full.ts	ts	936	2026-08-14	none	-	-	read-only experiment
openers-list.ts	ts	1322	2026-08-14	none	-	-	read-only experiment
p10-vs-p19.ts	ts	1715	2026-08-14	file-write	-	-	read-only experiment
p140-after.md	md	194102	2026-08-14	n/a	-	-	ARTIFACT (md)
p19-row0.ts	ts	2844	2026-08-14	none	-	-	read-only experiment
p19-v2-raw.png	png	1416635	2026-08-14	n/a	-	-	ARTIFACT (png)
page-ink.json	json	23068	2026-08-11	n/a	-	-	ARTIFACT (json)
patch-bad.json	json	84336	2026-08-11	n/a	-	-	ARTIFACT (json)
patch-clear.json	json	84514	2026-08-11	n/a	-	-	ARTIFACT (json)
patch-named.json	json	84353	2026-08-11	n/a	-	-	ARTIFACT (json)
patch.json	json	83455	2026-08-11	n/a	-	-	ARTIFACT (json)
patch2.json	json	84467	2026-08-11	n/a	-	-	ARTIFACT (json)
persist-manual-approval.ts	ts	3185	2026-08-08	DB-WRITE	-	-	DANGEROUS — needs guard
pin-4a53a65a.ts	ts	1486	2026-08-14	none	-	-	read-only experiment
pin-7475ee9e.ts	ts	1296	2026-08-14	none	-	-	read-only experiment
pin-block.ts	ts	3618	2026-08-14	none	-	-	read-only experiment
pin-f7a1959d.ts	ts	1414	2026-08-14	none	-	-	read-only experiment
