file	ext	bytes	mtime	mutations	paid_api	duplicate_of_tracked	class
resources-src.ts	ts	1845	2026-08-14	none	-	-	read-only experiment
restore-missing-openers-and-back-matter.ts	ts	12926	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
resync-after.md	md	194096	2026-08-14	n/a	-	-	ARTIFACT (md)
resync-index.ts	ts	4346	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
rev3-spine.png	png	592570	2026-08-11	n/a	-	-	ARTIFACT (png)
run-spine-band-repair.ts	ts	1352	2026-08-11	file-write	-	-	read-only experiment
scan-boundary-bug.ts	ts	821	2026-08-07	db-read	-	-	read-only experiment
set-backcover-lead.ts	ts	1792	2026-06-15	DB-WRITE	-	-	DANGEROUS — needs guard
set-cover-artdirection-rockies.ts	ts	3312	2026-08-02	DB-WRITE	-	-	DANGEROUS — needs guard
set-cover-artdirection.ts	ts	3027	2026-06-15	DB-WRITE	-	-	DANGEROUS — needs guard
set-series-text.ts	ts	1605	2026-06-14	DB-WRITE	-	-	DANGEROUS — needs guard
ship-readiness.ts	ts	1317	2026-08-07	db-read	-	-	read-only experiment
ship-v7.ts	ts	1869	2026-08-12	DB-WRITE	-	-	DANGEROUS — needs guard
shoot-all.ts	ts	4126	2026-08-14	file-write	-	-	read-only experiment
shoot-pdf.ts	ts	3216	2026-08-13	none	-	-	read-only experiment
spend-audit.ts	ts	1422	2026-08-08	db-read	OpenAI	-	DANGEROUS — needs guard
spine-compare.ts	ts	2010	2026-08-12	file-write	-	-	read-only experiment
spine-crop.ts	ts	618	2026-08-11	file-write	-	-	read-only experiment
spine-type-300.ts	ts	6449	2026-08-12	DB-WRITE	-	-	DANGEROUS — needs guard
spine-type-final.ts	ts	4853	2026-08-11	file-write	-	-	read-only experiment
spine-type-v6.ts	ts	4868	2026-08-12	file-write	-	-	read-only experiment
split-check.ts	ts	2126	2026-08-14	none	-	-	read-only experiment
split-restored-back-matter.ts	ts	6888	2026-08-04	DB-WRITE	-	-	DANGEROUS — needs guard
spread-133.jpg	jpg	223873	2026-08-14	n/a	-	-	ARTIFACT (jpg)
spread-48-49-fixed.jpg	jpg	286674	2026-08-14	n/a	-	-	ARTIFACT (jpg)
spread-48-49.jpg	jpg	253049	2026-08-14	n/a	-	-	ARTIFACT (jpg)
spread-49-50.jpg	jpg	253213	2026-08-14	n/a	-	-	ARTIFACT (jpg)
spread-5-6.jpg	jpg	126310	2026-08-14	n/a	-	-	ARTIFACT (jpg)
spread-final.jpg	jpg	284512	2026-08-14	n/a	-	-	ARTIFACT (jpg)
src-p006.ts	ts	562	2026-08-08	db-read	-	-	read-only experiment
stranded-check.ts	ts	1724	2026-08-14	none	-	-	read-only experiment
test-ch7-pin.ts	ts	5875	2026-08-14	none	-	-	read-only experiment
time-coverreq.ts	ts	1157	2026-08-11	none	-	-	read-only experiment
time-typeset.ts	ts	842	2026-08-11	none	-	-	read-only experiment
title-trim-check.ts	ts	3594	2026-08-11	none	-	-	read-only experiment
tors-62.png	png	116980	2026-08-11	n/a	-	-	ARTIFACT (png)
torsion-context.ts	ts	2225	2026-08-11	none	-	-	read-only experiment
trim-overlay.ts	ts	2628	2026-08-11	file-write	-	-	read-only experiment
try-133.ts	ts	1910	2026-08-14	none	-	-	read-only experiment
try-recto.ts	ts	2964	2026-08-14	none	-	-	read-only experiment
typeset-report.json	json	629779	2026-08-11	n/a	-	-	ARTIFACT (json)
typo-measure.ts	ts	5965	2026-08-14	none	-	-	read-only experiment
unpin-headings.ts	ts	1383	2026-08-14	none	-	-	read-only experiment
update-intro-text.ts	ts	3273	2026-06-16	DB-WRITE	-	-	DANGEROUS — needs guard
update-manuscript-ch8.ts	ts	2008	2026-08-03	db-read,STORAGE-WRITE	-	-	DANGEROUS — needs guard
update-manuscript-knots-v2.ts	ts	1017	2026-08-04	STORAGE-WRITE	-	-	DANGEROUS — needs guard
update-terms.ts	ts	1904	2026-06-16	DB-WRITE	-	-	DANGEROUS — needs guard
upload-rev2.ts	ts	1650	2026-08-11	DB-WRITE	-	-	DANGEROUS — needs guard
upload-rev3.ts	ts	1655	2026-08-11	DB-WRITE	-	-	DANGEROUS — needs guard
v3-blueprint.png	png	93199	2026-08-11	n/a	-	-	ARTIFACT (png)
v3-left-fold_AFTER.png	png	281055	2026-08-11	n/a	-	-	ARTIFACT (png)
v3-prompt.txt	txt	11668	2026-08-11	n/a	-	-	ARTIFACT (txt)
v3-right-fold_AFTER.png	png	392070	2026-08-11	n/a	-	-	ARTIFACT (png)
v3-spine-zoom.png	png	328892	2026-08-11	n/a	-	-	ARTIFACT (png)
v3-spine_AFTER.png	png	213147	2026-08-11	n/a	-	-	ARTIFACT (png)
v3m-left.png	png	185177	2026-08-11	n/a	-	-	ARTIFACT (png)
v3m-right.png	png	243182	2026-08-11	n/a	-	-	ARTIFACT (png)
v3m-spine.png	png	225800	2026-08-11	n/a	-	-	ARTIFACT (png)
v4-spine-final.png	png	258232	2026-08-11	n/a	-	-	ARTIFACT (png)
v4-spine-zoom.png	png	320251	2026-08-11	n/a	-	-	ARTIFACT (png)
v5-spine-zoom.png	png	245192	2026-08-11	n/a	-	-	ARTIFACT (png)
v6-auth.png	png	183822	2026-08-12	n/a	-	-	ARTIFACT (png)
v6-backleft.png	png	714358	2026-08-12	n/a	-	-	ARTIFACT (png)
v6-blueprint.png	png	95249	2026-08-12	n/a	-	-	ARTIFACT (png)
v6-prompt.txt	txt	12801	2026-08-12	n/a	-	-	ARTIFACT (txt)
v6-spine-zoom.png	png	226212	2026-08-12	n/a	-	-	ARTIFACT (png)
v6-sub.png	png	497703	2026-08-12	n/a	-	-	ARTIFACT (png)
v6-title-zone.png	png	61890	2026-08-12	n/a	-	-	ARTIFACT (png)
validate-art.ts	ts	1531	2026-08-11	none	OpenAI	-	DANGEROUS — needs guard
verify-delivered.ts	ts	4493	2026-08-12	none	-	-	read-only experiment
verify-edits.ts	ts	3097	2026-08-11	none	-	-	read-only experiment
verify-final.ts	ts	1885	2026-08-12	DB-WRITE	-	-	DANGEROUS — needs guard
verify-illustrations.ts	ts	1850	2026-08-11	none	-	-	read-only experiment
verify-marginal.ts	ts	1138	2026-08-08	db-read	-	-	read-only experiment
verify-panel.ts	ts	2495	2026-08-12	none	-	-	read-only experiment
verify-rev4-pdf.ts	ts	4592	2026-08-13	none	-	-	read-only experiment
verify-rev5.ts	ts	3380	2026-08-14	none	-	-	read-only experiment
verify-v6-tight.ts	ts	3900	2026-08-12	none	-	-	read-only experiment
verify-v6.ts	ts	4971	2026-08-12	none	-	-	read-only experiment
view-wrap.jpg	jpg	410906	2026-08-12	n/a	-	-	ARTIFACT (jpg)
which-orphan.ts	ts	1365	2026-08-14	none	-	-	read-only experiment
why-failed.ts	ts	590	2026-08-08	db-read	-	-	read-only experiment
widow-107.jpg	jpg	304707	2026-08-14	n/a	-	-	ARTIFACT (jpg)
widow-128.jpg	jpg	264716	2026-08-14	n/a	-	-	ARTIFACT (jpg)
widow-scan.ts	ts	3795	2026-08-14	none	-	-	read-only experiment
working.md	md	185808	2026-08-11	n/a	-	-	ARTIFACT (md)
zoom-desk-band_AFTER.png	png	167078	2026-08-11	n/a	-	-	ARTIFACT (png)
zoom-desk-band_BEFORE.png	png	184412	2026-08-11	n/a	-	-	ARTIFACT (png)
zoom-left-fold_AFTER.png	png	367539	2026-08-11	n/a	-	-	ARTIFACT (png)
zoom-left-fold_BEFORE.png	png	473081	2026-08-11	n/a	-	-	ARTIFACT (png)
zoom-right-fold_AFTER.png	png	497021	2026-08-11	n/a	-	-	ARTIFACT (png)
zoom-right-fold_BEFORE.png	png	523811	2026-08-11	n/a	-	-	ARTIFACT (png)
zoom-spine-full_AFTER.png	png	211910	2026-08-11	n/a	-	-	ARTIFACT (png)
zoom-spine-full_BEFORE.png	png	316588	2026-08-11	n/a	-	-	ARTIFACT (png)
zoom-v3-spine.ts	ts	887	2026-08-11	file-write	-	-	read-only experiment
zoom-v4-spine.ts	ts	884	2026-08-11	file-write	-	-	read-only experiment
